category_name,n_transactions
AMERICAN VODKAS,2944024
CANADIAN WHISKIES,2803717
STRAIGHT BOURBON WHISKIES,1884576
SPICED RUM,1402492
WHISKEY LIQUEUR,1379521
VODKA 80 PROOF,1255745
BLENDED WHISKIES,1223808
IMPORTED VODKAS,988548
AMERICAN FLAVORED VODKA,946534
TENNESSEE WHISKIES,786111
FLAVORED RUM,734630
100% AGAVE TEQUILA,674673
AMERICAN SCHNAPPS,632651
CREAM LIQUEURS,626632
AMERICAN DRY GINS,591840
COCKTAILS/RTD,571920
AMERICAN BRANDIES,554289
VODKA FLAVORED,498464
SCOTCH WHISKIES,484596
AMERICAN CORDIALS & LIQUEURS,470255
IMPORTED SCHNAPPS,458453
IMPORTED CORDIALS & LIQUEURS,446451
TEQUILA,431200
MIXTO TEQUILA,420948
WHITE RUM,420523
PUERTO RICO & VIRGIN ISLANDS RUM,392776
IMPORTED BRANDIES,375641
IMPORTED FLAVORED VODKA,337093
TEMPORARY & SPECIALTY PACKAGES,333287
IRISH WHISKIES,329180
IMPORTED DRY GINS,313610
AMERICAN COCKTAILS,282522
IMPORTED VODKA - MISC,254244
MISC. IMPORTED CORDIALS & LIQUEURS,244148
AMERICAN GRAPE BRANDIES,241132
SINGLE MALT SCOTCH,236023
STRAIGHT RYE WHISKIES,207232
COFFEE LIQUEURS,181945
IMPORTED GRAPE BRANDIES,153589
NEUTRAL GRAIN SPIRITS FLAVORED,136426
MISC. AMERICAN CORDIALS & LIQUEURS,126538
PEPPERMINT SCHNAPPS,119254
TRIPLE SEC,117334
GOLD RUM,109043
100 PROOF VODKA,98976
PEACH SCHNAPPS,62892
DISTILLED SPIRITS SPECIALTY,60316
BLACKBERRY BRANDIES,59306
AGED DARK RUM,56679
AMERICAN DISTILLED SPIRITS SPECIALTY,53108
AMERICAN AMARETTO,53104
SINGLE BARREL BOURBON WHISKIES,44158
NEUTRAL GRAIN SPIRITS,41217
BOTTLED IN BOND BOURBON,41135
DECANTERS & SPECIALTY PACKAGES,40339
APRICOT BRANDIES,38314
CINNAMON SCHNAPPS,34015
BUTTERSCOTCH SCHNAPPS,33659
IMPORTED DISTILLED SPIRITS SPECIALTY,33119
APPLE SCHNAPPS,32886
SPECIAL ORDER ITEMS,32820
MISCELLANEOUS SCHNAPPS,32000
AMERICAN ALCOHOL,24215
FLAVORED GIN,20252
WATERMELON SCHNAPPS,17676
JAMAICA RUM,15184
MEZCAL,15017
PEACH BRANDIES,14757
ROOT BEER SCHNAPPS,13526
CORN WHISKIES,13237
CHERRY BRANDIES,13167
RASPBERRY SCHNAPPS,13095
GRAPE SCHNAPPS,12953
IMPORTED AMARETTO,12762
AMERICAN SLOE GINS,12719
FLAVORED GINS,11943
STRAWBERRY SCHNAPPS,11767
TROPICAL FRUIT SCHNAPPS,10566
BARBADOS RUM,9897
GREEN CREME DE MENTHE,8892
WHITE CREME DE CACAO,7170
DARK CREME DE CACAO,6554
MISCELLANEOUS  BRANDIES,4042
OTHER PROOF VODKA,3371
SPEARMINT SCHNAPPS,2867
IOWA DISTILLERIES,2813
ROCK & RYE,2659
WHITE CREME DE MENTHE,2453
CREME DE ALMOND,1615
LOW PROOF VODKA,1565
ANISETTE,1433
JAPANESE WHISKY,281
IOWA DISTILLERY WHISKIES,124
AMARETTO - IMPORTED,101
DELISTED ITEMS,63
HOLIDAY VAP,48
HIGH PROOF BEER - AMERICAN,32
SCHNAPPS - IMPORTED,17
IMPORTED GINS,17
IMPORTED VODKA - CHERRY,14
IMPORTED WHISKIES,12
DELISTED / SPECIAL ORDER ITEMS,1
AMERICAN WHISKIES,1
