county,n_transactions
POLK,5457353
LINN,2446113
SCOTT,1760472
BLACK HAWK,1636482
JOHNSON,1445128
POTTAWATTAMIE,961928
STORY,920428
WOODBURY,913819
DUBUQUE,832810
CERRO GORDO,633009
DES MOINES,434643
MUSCATINE,425368
CLINTON,421557
DALLAS,385153
DICKINSON,380008
MARSHALL,348817
LEE,347417
WEBSTER,332982
WAPELLO,330166
WARREN,280096
MARION,272087
JASPER,268437
BUENA VISTA,239600
POWESHIEK,232449
BREMER,225017
CARROLL,216092
BOONE,210069
CLAY,200368
O'BRIEN,191977
JONES,187808
HARDIN,181526
WASHINGTON,175370
IOWA,174904
SIOUX,173947
PLYMOUTH,169847
KOSSUTH,164142
BUCHANAN,163257
MAHASKA,155446
JACKSON,152542
BENTON,149187
WINNESHIEK,149020
PAGE,146486
HAMILTON,133255
CASS,132544
MONONA,130550
FAYETTE,130098
CLAYTON,126814
UNION,124182
PALO ALTO,121016
FLOYD,120355
HARRISON,120291
LYON,118983
ALLAMAKEE,117568
CRAWFORD,116523
CEDAR,115217
HENRY,114941
MADISON,104437
JEFFERSON,102366
APPANOOSE,100683
WINNEBAGO,100622
CHEROKEE,99615
TAMA,98717
SAC,95332
DELAWARE,95104
WRIGHT,85599
MILLS,84806
MITCHELL,83959
HOWARD,83305
MONTGOMERY,78431
SHELBY,77926
FRANKLIN,73832
CLARKE,73643
EMMET,72319
HUMBOLDT,71733
IDA,69202
LUCAS,66112
GREENE,64382
ADAIR,62435
GUTHRIE,62052
POCAHONTAS,53178
KEOKUK,52527
GRUNDY,52305
BUTLER,52085
LOUISA,51112
HANCOCK,46941
CHICKASAW,46753
CALHOUN,45175
WORTH,41932
OSCEOLA,40520
MONROE,40384
AUDUBON,32591
VAN BUREN,29916
TAYLOR,28357
DECATUR,26249
ADAMS,25183
WAYNE,23658
DAVIS,20455
RINGGOLD,19419
FREMONT,9521
EL PASO,2
