date,county,all_revenue
10/12/2022,POLK,1092582.04
10/26/2012,POLK,1090618.44
10/13/2022,POLK,1063139.74
10/06/2016,POLK,1055322.59
12/29/2022,POLK,1052387.83
10/05/2017,POLK,1049066.6
10/04/2018,POLK,1038398.35
10/05/2021,POLK,1030011.76
12/20/2018,POLK,988290.45
10/01/2020,POLK,986866.41
10/12/2023,POLK,967480.56
03/07/2019,POLK,948786.63
12/28/2018,POLK,937658.56
07/31/2019,POLK,931335.85
12/13/2018,POLK,919623.68
12/06/2018,POLK,918475.44
10/08/2020,POLK,908914.09
12/28/2017,POLK,865066.68
10/10/2019,POLK,862419.42
10/06/2022,POLK,860965.16
09/29/2022,POLK,856461.1
04/14/2022,POLK,845776.33
05/26/2022,POLK,844228.95
10/02/2018,POLK,842757.38
12/01/2022,POLK,841743.78
11/15/2018,POLK,836824.24
08/02/2018,POLK,829456.43
10/27/2022,POLK,826473.15
10/01/2015,POLK,824938.66
10/05/2023,POLK,823675.44
05/03/2023,POLK,816652.01
11/29/2018,POLK,814932.39
08/18/2022,POLK,811976.13
07/27/2023,POLK,811736.43
05/25/2023,POLK,803102.97
04/04/2019,POLK,802984.73
09/07/2023,POLK,801197.37
12/01/2016,POLK,801060.68
09/08/2016,POLK,800595.74
06/28/2018,POLK,795168.33
10/18/2018,POLK,789645.6900000001
07/20/2023,POLK,778691.9400000001
04/28/2022,POLK,776423.67
10/14/2021,POLK,771387.24
08/02/2023,POLK,771084.61
11/16/2017,POLK,770822.27
10/30/2023,POLK,770426.68
08/04/2022,POLK,769258.27
06/05/2023,POLK,766762.99
10/07/2021,POLK,766723.43
05/27/2021,POLK,764775.82
05/14/2015,POLK,763420.38
11/30/2017,POLK,761192.54
12/06/2023,POLK,760713.91
06/14/2018,POLK,758750.6
07/21/2022,POLK,758023.53
09/30/2021,POLK,756995.61
10/04/2021,POLK,755961.46
11/07/2022,POLK,751938.78
12/21/2023,POLK,749885.59
04/27/2023,POLK,749730.02
06/30/2022,POLK,748669.67
12/15/2016,POLK,747427.03
09/13/2018,POLK,742871.54
05/18/2017,POLK,741914.6
06/22/2023,POLK,741801.76
06/10/2021,POLK,739219.15
08/11/2022,POLK,738528.08
05/05/2022,POLK,737428.19
12/29/2016,POLK,737371.42
09/26/2019,POLK,735471.82
12/30/2021,POLK,733857.66
03/17/2022,POLK,731553.71
09/06/2018,POLK,731035.86
12/08/2016,POLK,730918.93
04/24/2023,POLK,730225.38
12/02/2021,POLK,727903.34
09/28/2023,POLK,725022.8
12/15/2022,POLK,724118.32
03/14/2019,POLK,723886.45
12/21/2017,POLK,723199.73
09/07/2017,POLK,722061.13
12/26/2023,POLK,722042.14
02/07/2024,POLK,721856.15
04/12/2018,POLK,721626.18
06/16/2022,POLK,721133.77
11/08/2018,POLK,720526.96
10/27/2016,POLK,720174.94
08/31/2022,POLK,720171.66
12/07/2023,POLK,715390.43
