date,county,vodka_revenue
10/08/2020,POLK,341768.42
01/15/2024,POLK,315374.87
07/05/2021,POLK,306304.81
04/29/2024,POLK,305447.11
10/30/2023,POLK,303458.79
04/24/2023,POLK,297142.57
04/19/2021,POLK,295171.85
01/03/2022,POLK,283761.84
10/04/2021,POLK,260215.37
01/30/2023,POLK,229484.99
09/23/2020,POTTAWATTAMIE,229369.06
09/22/2020,WOODBURY,228235.33000000002
10/13/2022,POLK,217821.02
05/26/2022,POLK,215931.73
07/24/2023,POLK,210611.47999999998
09/18/2020,DUBUQUE,209700.12000000002
08/25/2021,POLK,209240.17
10/12/2022,POLK,207244.94
09/23/2020,STORY,201881.75
10/12/2023,POLK,181130.61000000002
09/18/2020,SCOTT,173577.83000000002
02/09/2017,POLK,159666.87
11/30/2017,POLK,157677.24
04/14/2022,POLK,156801.42
04/03/2023,JOHNSON,154458.11
02/07/2024,POLK,153105.84
10/27/2022,POLK,152422.36
12/29/2022,POLK,150404.14
07/28/2022,POLK,149257.74
01/03/2024,JOHNSON,148063.22
11/15/2018,POLK,147594.98
08/02/2023,POLK,145710.54
11/29/2018,POLK,140587.93
04/06/2022,POLK,139098.13999999998
08/04/2022,POLK,138367.36
06/15/2020,POLK,138054.51
11/15/2023,POLK,137819.86
08/26/2021,POLK,135085.12
03/07/2019,POLK,134157.28
08/03/2022,POLK,133396.84
04/08/2020,POLK,132726.09
07/05/2018,POLK,132684.92
04/26/2018,POLK,131959.62
09/07/2023,POLK,130644.53
05/25/2023,POLK,130331.91
02/28/2019,POLK,130225.89
08/29/2019,POLK,129439.06
05/18/2017,POLK,128836.42
09/08/2016,POLK,128368.32
06/08/2017,POLK,127645.69
05/16/2019,POLK,127029.21
09/27/2018,POLK,126485.12
09/01/2016,POLK,126233.83
10/27/2016,POLK,125702.16
05/03/2023,POLK,125338.98
06/30/2022,POLK,124413.56
06/15/2022,POLK,124325.47
11/08/2018,POLK,123865.83
10/03/2019,POLK,123674.56
05/27/2021,POLK,123131.96
06/29/2017,POLK,122457.57
09/23/2020,POLK,121597.08
06/07/2018,POLK,120888.45
08/16/2018,POLK,120803.7
07/31/2019,POLK,120595.93
05/11/2017,POLK,120491.08
07/21/2022,POLK,120188.72
08/31/2017,POLK,119700.26
07/26/2018,POLK,119571.6
12/01/2016,POLK,119288.03
11/17/2022,POLK,119101.4
08/27/2020,POLK,118628.16
11/18/2021,POLK,118258.27
08/17/2017,POLK,118216.22
07/06/2017,POLK,118027.9
07/12/2018,POLK,117681.69
10/17/2019,POLK,117077.28
06/01/2017,POLK,116990.24
10/14/2021,POLK,116846.85
02/07/2017,LINN,116474.33
12/20/2018,POLK,116219.86
05/11/2023,POLK,115410.14
06/26/2019,POLK,114858.72
05/10/2018,POLK,114804.22
09/07/2017,POLK,114642.13
11/19/2020,POLK,113485.47
09/13/2018,POLK,113068.07
10/04/2018,POLK,113041.37
04/27/2017,POLK,112968.18000000001
08/19/2021,LINN,112919.16
07/27/2017,POLK,112771.51
09/26/2019,POLK,112504.45
12/28/2018,POLK,112411.44
05/18/2022,POLK,112360.67
08/25/2022,POLK,112301.35
10/05/2023,POLK,112114.76
11/13/2019,POLK,111823.16
10/07/2020,POLK,111793.66
06/07/2023,POLK,111543.64
03/14/2019,POLK,111463.71
07/20/2023,POLK,111383.76
05/03/2018,POLK,111359.84
06/09/2022,POLK,111245.44
08/02/2018,POLK,111081.53
11/17/2016,POLK,111003.56
08/23/2018,POLK,110899.74
10/05/2017,POLK,110548.73
02/01/2018,POLK,110429.48
06/06/2019,POLK,110280.37
06/28/2024,POLK,110154.36
12/15/2022,POLK,110034.18000000001
10/02/2023,JOHNSON,109761.28
05/06/2021,POLK,109442.81
07/14/2022,POLK,109249.53
11/16/2022,POLK,109224.46
11/06/2018,LINN,109195.25
08/24/2023,POLK,108857.87
11/10/2021,POLK,108535.35
04/04/2022,JOHNSON,108404.71
05/24/2018,POLK,108312.52
06/14/2018,POLK,107993.75
06/22/2023,POLK,107979.75
12/06/2018,POLK,107905.87
05/31/2018,POLK,107837.87
02/06/2024,LINN,107551.27
08/11/2022,POLK,107440.72
09/06/2018,POLK,107202.8
08/18/2022,POLK,107153.58
05/20/2024,POLK,107112.13
01/17/2019,POLK,106744.64
06/13/2019,POLK,106639.42
11/07/2022,POLK,106314.74
04/18/2024,POLK,105934.64
03/08/2018,POLK,105748.14
01/20/2020,POLK,105278.34
02/21/2019,POLK,105241.67
06/27/2019,POLK,104976.78
10/30/2017,POLK,104883.92
12/13/2018,POLK,104739.40000000001
05/05/2022,POLK,104712.65
12/26/2022,POLK,104467.4
05/17/2018,POLK,104430.29000000001
07/19/2018,POLK,104312.46
08/01/2023,SCOTT,103817.29
08/04/2022,BLACK HAWK,103794.08
06/25/2020,POLK,103775.86
05/02/2019,POLK,103660.12
