date,n_liters
10/04/2013,244113.35
10/11/2013,208077.45
12/22/2020,169140.51
08/25/2021,165949.13
10/13/2022,164972.95
10/12/2022,164010.52
10/05/2012,158707.9
12/29/2020,157416.04
09/05/2019,150028.94
12/09/2021,149987.37
07/31/2019,148192.44
08/03/2022,146040.42
09/29/2020,145748.75
07/07/2021,145426.53
12/22/2017,144991.33
12/07/2023,144954.92
05/19/2015,143572.34
05/03/2023,143553.54
06/26/2012,141048.5
06/29/2023,140833.53
06/29/2022,140328.23
06/06/2016,140154.24
12/27/2022,140146.08
10/07/2013,139545.27
12/21/2018,139501.22
12/06/2023,139156.0
02/10/2022,138998.43
08/19/2021,138465.59
10/19/2012,138249.87
08/31/2022,138002.93
09/06/2022,137831.69
06/15/2015,137703.47
12/21/2016,137411.78
12/07/2022,137350.74
07/05/2019,137050.77
10/06/2021,136790.69
05/05/2022,136719.09
10/01/2014,136599.11
06/26/2019,136471.19
12/01/2015,136047.08
10/02/2013,135861.21
09/23/2020,135620.11
10/05/2021,135553.47
06/28/2017,135476.21
09/08/2014,135437.45
05/29/2020,135177.05
06/23/2014,134742.39
08/29/2023,134689.24
09/09/2020,134448.35
09/11/2017,133425.41
04/07/2014,133146.22
02/09/2023,132603.54
02/16/2022,132537.92
12/09/2020,132371.37
06/09/2014,131969.26
03/07/2024,131639.8
12/01/2014,131631.46
09/01/2022,131606.62
08/28/2017,131450.7
10/26/2012,131449.4
12/08/2021,131239.43
08/04/2022,130993.26
12/06/2018,130230.23
01/27/2014,130087.19
05/23/2024,130067.91
10/13/2014,130067.57
05/05/2020,129921.25
10/15/2014,129737.09
05/04/2023,129598.55
12/29/2014,129488.63
02/08/2024,129414.37
06/27/2023,128935.22
12/22/2016,128844.94
05/29/2019,128563.43
12/08/2020,128465.06
03/16/2015,128207.76
06/02/2020,128111.54
05/18/2015,127520.83
12/19/2016,127517.86
11/30/2015,127231.35
06/27/2016,127192.92
06/01/2015,127158.57
06/28/2016,127047.21
05/05/2021,127004.11
12/13/2018,126930.43
05/02/2018,126762.14
11/18/2015,126553.06
12/10/2014,126479.35
09/22/2020,126380.57
06/29/2018,126340.07
09/03/2014,126184.8
09/10/2014,126050.16
10/06/2014,125883.91
06/16/2015,125630.79
08/26/2013,125556.44
05/28/2020,125334.56
05/07/2019,125102.58
08/18/2022,125078.73
12/05/2017,125068.72
04/14/2020,125052.52
04/07/2022,124972.97
08/26/2020,124894.48
06/15/2022,124802.72
11/10/2021,124648.51
06/27/2018,124637.45
10/12/2015,124624.87
11/14/2018,124507.1
02/11/2015,124418.78
08/02/2023,124330.32
06/25/2013,124169.08
06/05/2017,124145.63
11/17/2020,124068.08
08/27/2014,124000.55
12/21/2021,123871.09
11/16/2021,123377.54
05/04/2015,122939.74
05/16/2018,122911.21
04/06/2022,122887.62
02/10/2014,122869.66
12/02/2013,122584.47
04/25/2024,122437.93
01/06/2014,122390.62
07/08/2021,122370.01
12/15/2020,122287.5
09/30/2021,122234.0
04/28/2014,122214.61
08/02/2022,122087.89
06/30/2020,122080.24
06/28/2023,122010.24
04/07/2020,121852.19
05/06/2021,121784.93
09/09/2021,121504.41
06/02/2014,121395.24
10/19/2021,121379.23
07/06/2023,121283.76
12/03/2014,121231.62
07/06/2022,121177.2
12/27/2018,121156.77
12/04/2017,121141.04
10/07/2014,121052.45
12/08/2014,120992.69
12/17/2018,120971.23
11/09/2021,120887.44
04/29/2015,120592.15
09/07/2023,120556.59
05/31/2019,120472.95
12/05/2018,120403.56
07/21/2021,120266.84
12/15/2021,120119.47
12/28/2018,120091.97
11/14/2023,120055.26
10/06/2015,119932.45
05/04/2021,119924.77
04/27/2015,119757.39
08/18/2020,119728.61
11/09/2023,119698.43
10/06/2020,119629.82
02/09/2015,119570.28
06/21/2016,119484.7
02/06/2024,119458.55
10/02/2017,119440.1
08/30/2022,119412.33
08/31/2021,119228.89
12/07/2017,119104.11
11/05/2014,119082.6
08/24/2021,119011.19
11/25/2022,118938.59
06/02/2021,118898.36
06/23/2020,118830.71
07/20/2021,118814.19
02/23/2023,118781.68
10/05/2015,118776.46
04/24/2020,118739.3
09/14/2015,118640.44
12/12/2012,118627.1
12/17/2014,118604.62
10/14/2015,118577.89
03/08/2023,118462.35
01/29/2014,118444.59
10/07/2021,118388.81
04/21/2021,118293.99
06/06/2023,118287.84
12/27/2023,118200.42
11/07/2022,118181.56
11/17/2014,118106.93
09/06/2017,117936.77
12/20/2018,117798.08
11/07/2023,117794.69
12/05/2022,117757.31
10/20/2015,117635.01
04/28/2021,117634.57
05/05/2014,117497.46
06/24/2020,117412.97
08/31/2018,117404.45
06/04/2018,117397.06
05/19/2020,117272.34
11/04/2021,117181.39
10/12/2012,117145.4
05/25/2022,117127.46
05/12/2020,117006.04
12/10/2018,116948.39
04/04/2016,116893.42
04/25/2016,116836.89
06/10/2021,116779.38
10/19/2015,116716.06
02/01/2016,116381.25
10/11/2023,116376.87
08/25/2020,116300.82
04/24/2019,116283.7
07/11/2016,116262.85
12/22/2015,116246.43
07/07/2014,116177.22
12/07/2015,116163.62
06/24/2013,116084.36
02/02/2016,116070.83
12/19/2018,116053.43
11/17/2016,116052.05
12/12/2018,115965.42
07/11/2018,115857.9
11/12/2014,115821.45
04/14/2022,115785.87
06/09/2021,115656.86
07/01/2020,115590.59
09/11/2020,115297.29
11/29/2018,115275.34
03/30/2022,115274.93
05/03/2024,115270.02
09/10/2012,115249.02
09/15/2016,115186.84
08/02/2018,115185.22
04/09/2014,115125.14
11/15/2018,115103.61
05/26/2017,115071.3
07/26/2023,115030.42
08/31/2023,115023.31
10/24/2018,114953.85
10/08/2014,114877.64
12/18/2012,114845.23
06/17/2015,114697.53
05/25/2018,114634.24
05/15/2019,114571.39
05/24/2023,114508.68
10/02/2018,114366.66
04/28/2020,114277.02
12/20/2019,114263.81
05/18/2022,114138.34
06/26/2017,114118.78
01/04/2024,114078.68
12/20/2017,114061.96
12/11/2020,114031.81
12/14/2015,114025.42
09/29/2014,113989.54
08/04/2014,113900.81
06/25/2024,113874.61
10/11/2022,113866.01
06/28/2012,113731.15
04/06/2023,113706.09
12/26/2015,113698.84
10/10/2018,113574.92
09/26/2023,113494.85
07/27/2015,113470.42
12/21/2015,113441.72
05/18/2021,113372.04
12/24/2012,113311.55
05/12/2014,113305.54
10/16/2013,113289.28
03/10/2014,113287.25
04/03/2023,113261.54
05/15/2020,113234.19
08/28/2020,113160.22
05/28/2019,113135.9
05/20/2015,113122.77
06/27/2022,113097.18
09/24/2019,112963.27
12/15/2014,112898.75
10/10/2023,112815.31
06/22/2020,112790.78
05/24/2016,112777.76
10/23/2017,112764.88
10/24/2017,112722.28
08/09/2022,112623.02
05/22/2017,112600.22
09/05/2018,112569.45
03/25/2020,112539.09
08/12/2013,112509.02
08/06/2014,112415.94
07/26/2019,112333.62
11/16/2022,112327.55
12/26/2018,112318.76
02/04/2015,112195.98
12/12/2017,112134.49
07/14/2014,112133.73
12/04/2013,112116.28
12/26/2019,112112.28
10/29/2014,112044.69
05/14/2019,112032.5
10/14/2013,111964.07
05/07/2024,111932.24
05/31/2022,111921.93
12/01/2016,111919.66
05/27/2020,111899.03
12/19/2022,111870.16
07/29/2013,111869.21
09/01/2020,111868.27
08/24/2015,111859.87
09/28/2015,111852.75
05/07/2013,111802.1
04/18/2024,111731.02
08/11/2021,111709.84
12/17/2019,111633.26
06/24/2019,111591.14
06/25/2019,111573.68
08/05/2013,111510.05
12/26/2014,111451.41
10/13/2015,111446.27
06/01/2023,111435.72
11/03/2020,111432.82
12/11/2018,111427.94
04/09/2013,111337.24
12/09/2015,111265.63
11/19/2014,111261.89
12/16/2013,111250.97
06/09/2020,111242.37
10/12/2021,111222.15
06/28/2021,111208.84
05/31/2023,111208.29
11/21/2016,111126.13
08/11/2014,111031.5
01/24/2019,110984.59
01/03/2024,110964.14
10/04/2018,110950.93
12/18/2017,110917.83
10/27/2020,110858.49
06/26/2020,110731.1
07/28/2015,110714.77
09/28/2021,110671.2
04/05/2023,110654.24
06/07/2023,110632.37
03/18/2015,110537.24
10/26/2020,110512.26
09/08/2023,110512.05
01/25/2016,110474.37
03/24/2020,110449.76
07/29/2019,110422.76
10/06/2016,110364.14
03/31/2021,110326.76
11/26/2021,110308.35
12/27/2013,110287.42
05/02/2016,110274.91
09/06/2018,110261.76
09/02/2015,110247.14
01/26/2015,110240.15
05/05/2023,110237.89
02/24/2014,110202.45
05/03/2016,110147.71
06/29/2015,110137.06
08/28/2019,110058.24
06/04/2012,110043.96
04/08/2021,110030.24
04/14/2014,109977.94
12/15/2015,109926.54
05/08/2018,109911.26
07/28/2020,109905.47
11/30/2017,109901.36
11/22/2021,109885.73
05/08/2020,109877.89
04/28/2015,109864.15
05/09/2016,109854.02
12/07/2021,109801.74
10/03/2022,109793.85
05/26/2021,109786.41
12/16/2020,109697.02
12/03/2018,109663.2
10/03/2013,109636.76
11/19/2018,109622.96
12/27/2016,109615.63
09/29/2021,109577.43
11/16/2016,109577.32
06/27/2012,109568.41
10/04/2023,109539.16
02/06/2017,109531.97
04/10/2020,109526.32
06/16/2021,109522.18
10/07/2020,109508.43
12/06/2021,109490.96
03/20/2020,109460.24
04/29/2013,109359.91
11/21/2022,109298.2
05/12/2021,109289.54
06/27/2013,109239.59
02/11/2019,109224.43
05/23/2016,109121.84
09/22/2021,109119.85
06/08/2023,109116.9
12/09/2013,109116.02
12/18/2013,109113.98
02/17/2016,109093.36
10/17/2012,109076.73
11/21/2023,109075.28
06/25/2018,108993.66
12/02/2015,108935.68
10/07/2015,108923.92
07/10/2013,108874.54
05/22/2012,108860.91
03/06/2023,108791.35
06/16/2020,108761.61
08/28/2012,108748.81
09/01/2021,108733.47
07/29/2015,108657.8
06/13/2012,108614.95
12/18/2018,108572.76
08/04/2020,108531.5
12/13/2022,108490.39
11/28/2018,108481.82
05/30/2018,108457.46
10/04/2022,108451.43
10/22/2014,108377.61
12/07/2016,108330.18
08/28/2013,108292.0
10/27/2014,108275.66
08/03/2015,108270.35
03/07/2016,108211.9
11/26/2018,108155.19
11/08/2017,108136.54
12/15/2022,108115.21
08/28/2018,108090.92
03/05/2021,108077.89
05/23/2018,108077.33
10/09/2012,108066.62
06/25/2014,108025.18
04/08/2020,108001.76
10/03/2018,107995.79
12/27/2017,107977.39
03/06/2019,107956.35
06/07/2016,107922.08
06/20/2016,107907.83
07/21/2014,107873.15
12/11/2012,107772.89
07/13/2015,107761.73
09/18/2020,107743.09
10/23/2018,107742.58
12/22/2023,107703.51
07/05/2021,107662.68
03/17/2015,107608.9
06/28/2018,107551.94
11/22/2023,107514.74
06/13/2016,107461.1
01/05/2015,107295.27
