date,revenue
10/04/2013,3504719.75
10/11/2013,3267912.73
12/22/2020,3097698.01
10/13/2022,3088636.83
10/12/2022,2917869.5
10/05/2021,2903928.2
12/07/2023,2743396.67
12/27/2022,2722392.57
12/29/2020,2717979.52
12/06/2023,2694046.76
08/03/2022,2668865.93
12/07/2022,2625570.52
05/03/2023,2625538.98
08/25/2021,2587799.22
06/29/2022,2544467.74
06/29/2023,2543242.34
12/09/2021,2536057.02
10/06/2021,2532396.91
02/08/2024,2468985.37
03/07/2024,2449720.77
08/31/2022,2429289.43
08/29/2023,2421791.18
09/29/2020,2420417.11
12/05/2022,2409943.42
05/23/2024,2399634.38
12/27/2023,2391598.91
02/09/2023,2368045.88
02/10/2022,2358100.56
07/31/2019,2357121.79
02/16/2022,2340317.42
10/11/2023,2312605.57
08/18/2022,2300912.19
07/07/2021,2298164.72
11/14/2023,2293685.52
09/05/2019,2288889.5
05/04/2023,2288022.79
09/06/2022,2280737.68
08/02/2023,2275270.64
08/04/2022,2268717.18
06/27/2023,2264567.81
07/06/2023,2262735.3
06/28/2023,2247566.99
08/19/2021,2243208.2
09/23/2020,2241022.99
11/22/2021,2239128.75
12/21/2021,2234742.96
08/30/2022,2234402.6
06/15/2022,2232747.9
06/06/2023,2231406.42
02/06/2024,2229894.04
11/09/2023,2223837.68
08/02/2022,2220583.49
05/05/2022,2217313.83
12/19/2022,2216799.38
09/30/2021,2207622.65
09/09/2020,2192185.82
05/29/2020,2191506.13
11/10/2021,2189102.85
11/16/2021,2187879.92
03/08/2023,2185497.96
07/26/2023,2183246.46
09/01/2022,2181915.95
08/31/2023,2179602.71
11/21/2023,2179096.13
12/08/2021,2176413.71
10/03/2023,2176167.87
12/22/2017,2173262.71
11/25/2022,2170337.88
12/21/2018,2169369.06
12/13/2018,2166754.72
09/07/2023,2163537.62
12/15/2021,2163235.26
11/07/2022,2162329.03
04/25/2024,2158304.94
11/09/2021,2157107.31
06/26/2019,2150877.34
12/21/2022,2150850.93
12/19/2023,2150788.1
01/03/2024,2140196.13
09/26/2023,2140131.57
10/10/2023,2137038.14
12/06/2018,2135619.82
04/06/2022,2134668.28
05/24/2023,2134132.67
10/12/2023,2132087.28
04/21/2021,2130271.51
11/21/2022,2125807.2
08/25/2020,2122566.7
01/04/2024,2119396.3
07/06/2022,2117972.96
10/11/2022,2116869.93
11/07/2023,2115262.31
12/09/2020,2113838.83
12/28/2023,2113743.0
12/05/2023,2111014.09
09/22/2020,2105469.82
06/06/2016,2103966.79
10/03/2022,2103661.41
12/21/2016,2103595.81
10/12/2021,2098850.28
12/05/2017,2096679.14
04/05/2023,2091737.44
05/03/2024,2091332.82
10/06/2020,2089406.76
08/24/2021,2087975.83
02/14/2024,2086587.71
10/04/2023,2086177.84
05/25/2022,2086142.82
06/23/2014,2085975.82
04/18/2024,2084204.77
06/09/2021,2083382.69
06/10/2024,2081783.76
12/08/2020,2079501.8699999999
09/09/2021,2077882.14
12/12/2022,2075208.71
12/04/2017,2073438.49
07/21/2021,2072977.52
08/31/2021,2071774.13
10/02/2018,2068820.11
12/15/2022,2065336.03
10/19/2021,2061663.04
10/04/2022,2061031.07
11/22/2023,2057383.04
09/24/2019,2055101.67
04/06/2023,2054219.83
06/10/2021,2051613.56
12/11/2023,2050555.38
11/16/2022,2050035.11
10/01/2020,2045678.17
06/25/2024,2042997.01
12/15/2020,2039002.52
06/28/2017,2036648.55
09/29/2021,2032957.05
12/01/2022,2031367.22
11/17/2020,2031270.3
12/13/2022,2030507.68
08/26/2020,2030295.21
12/29/2014,2029687.78
06/05/2024,2029236.91
12/20/2022,2028933.78
09/13/2023,2028800.5
07/05/2019,2025317.11
06/07/2023,2024776.07
07/03/2023,2023045.2
04/03/2023,2021051.13
05/31/2024,2019911.96
02/23/2023,2019903.06
08/09/2022,2016930.39
06/30/2020,2016230.84
12/22/2016,2015527.45
06/27/2022,2012498.01
07/07/2023,2011494.75
12/17/2018,2009575.69
12/07/2021,2008536.08
10/07/2021,2006906.44
06/01/2023,2005987.8
12/18/2023,2005942.14
12/20/2018,2005716.31
05/28/2024,2005437.18
12/22/2021,2003273.55
05/05/2021,2003237.11
12/06/2022,2002502.75
07/08/2021,2000801.09
12/22/2023,1999882.33
06/02/2021,1999199.21
10/13/2014,1998825.0
03/30/2022,1997284.41
06/15/2015,1995894.18
12/09/2022,1995403.87
07/17/2023,1994742.0
11/23/2021,1992868.25
11/03/2020,1991607.22
12/01/2014,1991352.36
05/02/2022,1988953.85
10/09/2023,1988901.4
12/08/2022,1984565.9
12/05/2018,1984482.12
06/16/2022,1981770.15
10/30/2023,1981520.77
12/01/2015,1979643.44
09/08/2022,1978546.15
04/14/2022,1977404.46
11/18/2015,1976762.51
12/13/2023,1974845.84
09/11/2017,1974677.66
01/03/2023,1970620.62
09/08/2014,1970086.58
12/29/2022,1966377.09
10/05/2022,1964869.51
12/20/2023,1962464.01
02/07/2024,1959139.36
03/06/2023,1957982.11
06/18/2024,1957596.08
12/19/2016,1956094.65
11/18/2022,1955601.18
11/04/2021,1955408.0
12/14/2021,1954069.02
11/14/2018,1952293.36
09/05/2023,1951943.89
06/28/2021,1951596.5
05/28/2020,1951046.86
12/07/2017,1950063.53
11/30/2015,1949902.56
10/05/2012,1949662.19
05/30/2023,1948814.21
07/14/2021,1946623.43
05/07/2024,1945944.01
08/28/2017,1945294.99
10/05/2023,1944750.4
12/16/2020,1944036.19
12/27/2018,1942767.99
10/02/2023,1941002.22
10/10/2018,1937764.45
10/06/2022,1937690.21
10/12/2015,1937287.76
05/19/2015,1935772.54
05/18/2021,1935063.53
05/31/2022,1934267.99
09/11/2020,1934144.82
10/26/2020,1934021.97
03/16/2015,1933297.11
10/26/2022,1933160.56
11/16/2023,1931741.1300000001
12/10/2014,1926816.39
09/08/2023,1926376.93
06/09/2014,1922533.66
04/28/2021,1921501.27
11/09/2022,1920441.88
05/16/2024,1919939.79
12/12/2018,1919598.74
05/29/2019,1917756.65
12/28/2021,1917055.54
10/19/2012,1916951.36
08/11/2021,1913594.44
09/22/2021,1913103.86
12/26/2019,1912906.14
08/26/2022,1912792.87
11/26/2021,1912079.56
10/19/2022,1911075.87
12/28/2018,1910972.17
06/02/2020,1910009.13
05/06/2021,1909792.99
11/29/2018,1909083.43
08/01/2023,1908600.68
04/14/2020,1907583.78
10/08/2019,1907104.19
11/14/2022,1906076.53
06/08/2023,1905248.09
08/16/2022,1904566.03
10/07/2020,1903808.55
08/05/2022,1903710.43
04/07/2022,1903474.73
12/06/2021,1901696.73
09/19/2022,1900522.79
05/12/2021,1898652.02
10/14/2013,1898299.37
10/04/2021,1898204.32
11/18/2021,1897125.66
05/18/2022,1892970.29
04/24/2023,1892382.1
11/19/2021,1891820.28
05/05/2023,1891014.01
05/02/2024,1890043.58
06/16/2021,1889597.46
03/31/2021,1888904.09
08/16/2023,1887562.18
05/13/2024,1887240.88
12/28/2022,1886654.89
12/07/2015,1886564.29
10/07/2013,1886093.73
05/05/2020,1885157.84
07/01/2020,1885060.95
08/18/2020,1883998.47
10/10/2022,1883917.66
12/18/2020,1883463.38
10/27/2020,1882992.51
05/04/2021,1882145.38
06/24/2020,1878268.25
12/02/2022,1877913.74
11/17/2016,1877610.84
03/03/2021,1877165.3
12/10/2018,1877154.0
07/19/2023,1876579.11
10/04/2018,1875385.1
10/01/2014,1875293.42
03/14/2024,1874222.5
03/03/2023,1873947.33
11/17/2021,1870445.22
12/16/2021,1868057.8
10/06/2016,1867987.22
10/15/2014,1866893.95
11/01/2021,1866567.92
12/22/2015,1866200.24
06/04/2024,1863368.25
12/20/2019,1862945.79
12/20/2021,1860354.95
05/18/2015,1858349.98
11/24/2021,1858148.45
03/06/2024,1856802.79
08/10/2022,1856454.99
12/19/2018,1855915.48
09/18/2020,1855716.1300000001
11/15/2018,1855558.88
02/11/2015,1854756.29
11/27/2020,1854636.17
09/21/2021,1853065.95
05/20/2024,1852922.03
