date,vodka_revenue
09/23/2020,656418.7000000001
08/25/2021,628206.22
09/18/2020,551787.12
10/12/2022,545311.92
11/16/2021,524225.95
08/29/2023,517415.09
10/13/2022,503697.37
08/04/2022,488161.91
07/05/2021,486768.57
08/03/2022,479753.58
08/02/2023,471335.41
04/24/2023,464865.05
10/08/2020,458723.55
04/29/2024,458227.41
06/29/2022,457757.97000000003
10/30/2023,457210.22
04/19/2021,450937.44
09/22/2020,448659.89
08/19/2021,447398.01
01/03/2022,445483.04
06/29/2023,443925.49
05/03/2023,439695.71
08/02/2022,438344.59
07/24/2023,434715.95
11/16/2022,432052.3
01/15/2024,431279.95
04/03/2023,431083.57
11/17/2021,424048.89
08/05/2022,420927.16
09/06/2022,415519.5
02/06/2024,413372.9
06/28/2023,410764.73
11/14/2023,410468.05
08/04/2023,405466.6
01/03/2024,402156.5
10/12/2023,401636.24
10/04/2021,399321.07
06/27/2023,387487.19
09/29/2020,386366.25
06/27/2022,386301.91
11/17/2020,385233.7
02/08/2024,384910.11
05/23/2024,382117.94
10/11/2023,382076.81
08/01/2023,381620.61
11/18/2022,380823.94
08/18/2022,380611.74
11/18/2021,379841.27
08/05/2020,378945.52999999997
11/19/2021,377428.38
10/09/2023,375524.34
06/25/2024,375307.82
01/30/2023,375179.26
06/15/2022,374635.92
05/18/2022,372095.03
10/10/2022,369729.09
02/09/2017,368834.16
06/07/2023,365728.28
11/16/2023,365584.44
08/09/2022,364722.64
05/03/2024,364235.81
08/30/2022,363425.83
05/31/2023,362275.18
08/25/2023,362091.42
02/07/2024,361362.89
06/26/2019,361007.59
01/04/2024,360455.72
06/28/2021,359334.16
08/27/2021,358732.44
11/14/2022,356913.64
08/31/2021,356252.84
11/10/2021,354654.25
05/04/2023,352124.29
08/28/2019,351374.74
04/06/2022,350171.38
11/15/2023,349155.28
08/07/2020,349128.62
05/28/2024,348801.57
10/07/2020,347674.42
06/14/2021,347314.6
11/07/2023,347087.27
05/05/2023,345863.99
11/17/2022,345863.09
02/09/2023,344182.77
11/15/2022,342910.58
11/20/2020,341754.94
08/31/2023,341747.47
12/27/2022,341229.04
10/11/2021,341051.95
10/03/2022,340011.4
08/18/2020,339726.45
06/08/2023,339082.63
08/26/2020,338719.3
10/13/2021,335018.25
05/07/2024,334044.02999999997
08/31/2022,332975.44
08/23/2023,332972.57
06/16/2021,332522.75
02/23/2023,332457.57
08/24/2021,332352.27
03/06/2023,332331.67
08/03/2021,331611.29
06/06/2023,331290.34
08/03/2023,331239.94
05/24/2023,330452.38
04/08/2020,330406.99
03/08/2023,330288.6
04/18/2024,330253.03
09/07/2023,330221.32
06/26/2018,328491.43
11/21/2023,328194.12
05/31/2022,328028.11
11/07/2022,327733.5
05/26/2022,327595.87
11/30/2017,327535.66000000003
05/01/2024,327306.55
09/26/2023,326906.89
07/05/2019,326733.79
08/21/2023,326266.71
06/30/2021,325780.36
05/30/2023,325554.32
08/04/2021,325508.31
07/31/2019,325298.86
07/03/2023,325183.26
08/09/2023,321357.64
06/16/2022,321278.98
08/22/2022,321217.8
08/28/2018,320297.5
07/05/2018,319799.13
05/24/2022,319600.55
08/07/2023,319339.96
02/10/2022,318007.54
12/29/2020,317814.82
08/30/2023,317523.5
05/22/2023,317298.75
02/06/2023,317026.07
08/28/2020,316855.76
06/29/2020,316782.0
06/18/2024,316734.45
05/05/2021,316702.71
04/07/2022,316537.82
06/01/2023,316298.13
05/20/2024,316260.52999999997
06/02/2021,315503.4
02/16/2022,315487.0
11/14/2018,314952.12
06/15/2021,314434.5
07/30/2018,314199.56
06/15/2020,313323.31
10/11/2022,313265.73
11/17/2023,312983.96
05/29/2020,312405.39
12/22/2023,312341.92
11/22/2023,312221.93
05/19/2022,311869.28
05/19/2020,311728.27
06/04/2018,311194.24
07/27/2022,311008.17
05/19/2023,310852.91
03/20/2020,310515.01
05/23/2023,309522.3
07/15/2019,308246.72000000003
09/01/2023,307418.29
06/26/2020,307319.49
08/31/2020,306680.06
06/26/2024,306600.63
05/25/2022,306590.24
05/31/2024,306177.88
08/06/2021,305335.33
04/07/2020,305291.87
02/28/2024,305271.36
02/07/2017,305118.21
08/26/2022,305032.25
11/01/2021,304907.13
09/18/2023,304452.78
10/14/2022,304423.91
08/16/2022,304091.7
06/24/2022,303658.88
06/25/2021,303384.07
09/05/2019,303199.13
06/30/2023,303153.5
07/11/2018,302447.97
04/10/2020,302357.54
08/14/2023,302300.49
07/20/2021,302129.41
03/30/2022,301973.12
10/06/2020,301971.07
08/21/2020,301674.99
06/23/2023,301611.37
01/05/2022,301429.48
05/18/2021,301173.39
06/30/2020,300944.29
05/12/2023,300633.14
05/29/2024,300590.62
04/07/2023,299601.45
07/07/2021,299394.28
05/26/2021,299176.58
02/07/2022,299145.65
05/27/2021,298531.2
08/03/2020,298364.91
03/01/2024,298349.71
06/27/2018,297977.57
02/04/2022,297587.04
08/10/2022,297313.61
05/05/2022,297291.96
05/06/2021,295958.09
11/28/2018,295845.59
06/24/2019,295697.96
09/09/2020,295229.1
07/26/2023,294939.63
08/04/2020,294801.11
05/13/2022,294707.92
10/10/2023,294524.73
11/18/2020,294440.74
08/27/2019,294201.32
03/03/2023,293726.9
10/04/2023,293710.12
03/07/2024,293458.29
10/02/2023,293278.02999999997
05/07/2021,293177.2
10/12/2021,292050.54
03/07/2023,292047.8
05/27/2020,291859.88
09/11/2017,291739.03
06/06/2018,291617.5
06/28/2017,291557.68
12/22/2020,291534.59
09/06/2017,291021.14
12/27/2023,290851.97
12/07/2023,290754.54
02/07/2023,290601.56
05/02/2022,290556.56
06/08/2017,290546.74
06/24/2020,289941.5
11/16/2020,289910.06
06/29/2021,289377.43
06/23/2020,289108.5
04/04/2022,288959.25
05/15/2020,288402.02
01/05/2024,287097.12
07/06/2023,286968.47
07/25/2018,286890.33
09/08/2023,286721.8
05/26/2023,286679.7
04/24/2020,286515.0
07/14/2023,286075.12
12/19/2022,285921.57
06/20/2018,285702.55
06/03/2021,285660.86
06/26/2023,285279.11
11/13/2019,285202.72
09/05/2018,285157.83
06/27/2024,285144.63
06/21/2023,284661.13
11/29/2018,283782.53
11/15/2018,283608.59
11/25/2022,283558.23
10/30/2017,283486.57
11/02/2023,283144.25
09/11/2020,282881.31
07/07/2023,282559.77999999997
12/05/2022,282498.69
06/22/2020,282421.3
03/06/2024,282389.89
08/26/2021,282339.18
11/06/2018,281826.12
08/08/2023,281782.69
05/09/2022,281774.67
06/05/2023,281730.3
07/08/2021,281667.07
11/09/2021,281603.5
