county,n_transactions
ADAIR,8198
ADAMS,1962
ALLAMAKEE,10548
APPANOOSE,9162
AUDUBON,3784
BENTON,16497
BLACK HAWK,152662
BOONE,21495
BREMER,19292
BUCHANAN,15459
BUENA VISTA,17119
BUTLER,8327
CALHOUN,5763
CARROLL,19462
CASS,12916
CEDAR,13167
CERRO GORDO,52044
CHEROKEE,9294
CHICKASAW,5101
CLARKE,7561
CLAY,18252
CLAYTON,11143
CLINTON,43267
CRAWFORD,7913
DALLAS,48828
DAVIS,2151
DECATUR,3155
DELAWARE,9748
DES MOINES,46688
DICKINSON,32526
DUBUQUE,82257
EMMET,6733
FAYETTE,12937
FLOYD,13180
FRANKLIN,6516
FREMONT,1822
GREENE,5770
GRUNDY,8532
GUTHRIE,8075
HAMILTON,13382
HANCOCK,6708
HARDIN,21352
HARRISON,10154
HENRY,12096
HOWARD,8709
HUMBOLDT,6991
IDA,6327
IOWA,17100
JACKSON,14522
JASPER,25547
JEFFERSON,11795
JOHNSON,149526
JONES,16291
KEOKUK,5615
KOSSUTH,12909
LEE,29198
LINN,257790
LOUISA,4423
LUCAS,6372
LYON,9405
MADISON,11077
MAHASKA,15938
MARION,27268
MARSHALL,34861
MILLS,10729
MITCHELL,7536
MONONA,10135
MONROE,4764
MONTGOMERY,7649
MUSCATINE,42565
O'BRIEN,14804
OSCEOLA,3305
PAGE,14716
PALO ALTO,9507
PLYMOUTH,14959
POCAHONTAS,5333
POLK,600594
POTTAWATTAMIE,93016
POWESHIEK,21655
RINGGOLD,2253
SAC,8250
SCOTT,170341
SHELBY,6720
SIOUX,17519
STORY,87466
TAMA,10782
TAYLOR,2196
UNION,12296
VAN BUREN,3543
WAPELLO,29398
WARREN,36076
WASHINGTON,15400
WAYNE,2608
WEBSTER,34280
WINNEBAGO,11487
WINNESHIEK,13027
WOODBURY,87007
WORTH,5301
WRIGHT,12145
